"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Matt Olson","ATL","162","699","34","86","103","0","10.7%","24.3%",".237",".274",".240",".325",".477",".344","","120","-0.8","15.4","-9.4","3.1","14344"
"Ryan McMahon","COL","153","597","20","67","67","7","10.1%","26.5%",".168",".311",".246",".327",".414",".326","","95","2.1","-1.3","10.4","3.1","15112"
"Ke'Bryan Hayes","PIT","136","560","7","55","41","20","8.6%","21.8%",".101",".307",".244",".314",".345",".294","","88","0.9","-6.8","16.7","3.0","18577"
"Nathaniel Lowe","TEX","157","645","27","74","76","2","7.4%","22.8%",".191",".363",".302",".358",".492",".368","","143","-3.9","27.2","-19.1","3.0","19566"
"Gavin Lux","LAD","129","471","6","66","42","7","10.0%","20.2%",".124",".341",".276",".346",".399",".328","","113","3.2","10.5","1.9","3.0","19955"
"Starling Marte","NYM","118","505","16","76","63","18","5.1%","19.2%",".176",".340",".292",".347",".468",".355","","136","-0.2","20.8","-9.6","3.0","9241"
"Brandon Drury","- - -","138","568","28","87","87","2","6.7%","22.2%",".230",".293",".263",".320",".492",".350","","123","-3.6","11.4","-2.4","3.0","11615"
"DJ LeMahieu","NYY","125","541","12","74","46","4","12.4%","13.1%",".116",".285",".261",".357",".377",".329","","116","-4.0","6.0","4.9","2.9","9874"
"Bryan Reynolds","PIT","145","614","27","74","62","7","9.1%","23.0%",".199",".306",".262",".345",".461",".349","","125","-2.1","16.0","-9.3","2.9","19326"
"Jonah Heim","TEX","127","450","16","51","48","2","9.1%","19.3%",".172",".249",".227",".298",".399",".306","","99","-1.8","-2.5","15.1","2.8","16930"
"Andrew Benintendi","- - -","126","521","5","54","51","8","10.0%","14.8%",".095",".352",".304",".373",".399",".342","","122","0.6","13.5","-3.5","2.8","17901"
